abs	[#number#]abs(<#mixed $number#>)
acos	[#float#]acos(<#float $arg#>)
acosh	[#float#]acosh(<#float $arg#>)
addcslashes	[#string#]addcslashes(<#string $str#>,<#string $charlist#>)
addslashes	[#string#]addslashes(<#string $str#>)
apache_child_terminate	[#bool#]apache_child_terminate()
apache_getenv	[#string#]apache_getenv(<#string $variable#>,<#bool $walk_to_top#>)
apache_get_modules	[#array#]apache_get_modules()
apache_get_version	[#string#]apache_get_version()
apache_lookup_uri	[#object#]apache_lookup_uri(<#string $filename#>)
apache_note	[#string#]apache_note(<#string $note_name#>,<#string $note_value#>)
apache_request_headers	[#array#]apache_request_headers()
apache_reset_timeout	[#bool#]apache_reset_timeout()
apache_response_headers	[#array#]apache_response_headers()
apache_setenv	[#bool#]apache_setenv(<#string $variable#>,<#string $value#>,<#bool $walk_to_top#>)
apc_add	[#bool#]apc_add(<#string $key#>,<#mixed $var#>,<#int $ttl#>)
apc_bin_dumpfile	[#int#]apc_bin_dumpfile(<#array $files#>,<#array $user_vars#>,<#string $filename#>,<#int $flags#>,<#resource $context#>)
apc_bin_dump	[#string#]apc_bin_dump(<#array $files#>,<#array $user_vars#>)
apc_bin_load	[#bool#]apc_bin_load(<#string $data#>,<#int $flags#>)
apc_bin_loadfile	[#bool#]apc_bin_loadfile(<#string $filename#>,<#resource $context#>,<#int $flags#>)
apc_cache_info	[#array#]apc_cache_info(<#string $cache_type#>,<#bool $limited#>)
apc_cas	[#bool#]apc_cas(<#string $key#>,<#int $old#>,<#int $new#>)
apc_clear_cache	[#bool#]apc_clear_cache(<#string $cache_type#>)
apc_compile_file	[#mixed#]apc_compile_file(<#string $filename#>,<#bool $atomic#>)
apc_dec	[#int#]apc_dec(<#string $key#>,<#int $step#>,<#bool &$success#>)
apc_define_constants	[#bool#]apc_define_constants(<#string $key#>,<#array $constants#>,<#bool $case_sensitive#>)
apc_delete_file	[#mixed#]apc_delete_file(<#mixed $keys#>)
apc_delete	[#mixed#]apc_delete(<#string $key#>)
apc_exists	[#mixed#]apc_exists(<#mixed $keys#>)
apc_fetch	[#mixed#]apc_fetch(<#mixed $key#>,<#bool &$success#>)
apc_inc	[#int#]apc_inc(<#string $key#>,<#int $step#>,<#bool &$success#>)
apc_load_constants	[#bool#]apc_load_constants(<#string $key#>,<#bool $case_sensitive#>)
apc_sma_info	[#array#]apc_sma_info(<#bool $limited#>)
apc_store	[#bool#]apc_store(<#string $key#>,<#mixed $var#>,<#int $ttl#>)
apd_breakpoint	[#bool#]apd_breakpoint(<#int $debug_level#>)
apd_callstack	[#array#]apd_callstack()
apd_clunk	[#void#]apd_clunk(<#string $warning#>,<#string $delimiter#>)
apd_continue	[#bool#]apd_continue(<#int $debug_level#>)
apd_croak	[#void#]apd_croak(<#string $warning#>,<#string $delimiter#>)
apd_dump_function_table	[#void#]apd_dump_function_table()
apd_dump_persistent_resources	[#array#]apd_dump_persistent_resources()
apd_dump_regular_resources	[#array#]apd_dump_regular_resources()
apd_echo	[#bool#]apd_echo(<#string $output#>)
apd_get_active_symbols	[#array#]apd_get_active_symbols()
apd_set_pprof_trace	[#string#]apd_set_pprof_trace(<#string $dump_directory#>,<#string $fragment#>)
apd_set_session_trace_socket	[#bool#]apd_set_session_trace_socket(<#string $tcp_server#>,<#int $socket_type#>,<#int $port#>,<#int $debug_level#>)
apd_set_session_trace	[#void#]apd_set_session_trace(<#int $debug_level#>,<#string $dump_directory#>)
apd_set_session	[#void#]apd_set_session(<#int $debug_level#>)
array	[#array#]array(<#mixed $...#>)
array_change_key_case	[#array#]array_change_key_case(<#array $input#>,<#int $case#>)
array_chunk	[#array#]array_chunk(<#array $input#>,<#int $size#>,<#bool $preserve_keys#>)
array_column	[#array#]array_column(<#array $input#>,<#mixed $column_key#>,<#mixed $index_key#>)
array_combine	[#array#]array_combine(<#array $keys#>,<#array $values#>)
